LCP_EntreLesLignes_2013-03-16_212400 828.329 872.517 Anne_ROSENCHER  190 40 44.188 38.906999999999 5.05999999999949 0.173913043478261 0.114510726894168 que(2) je trouve que(2) l' on en(2) a pas on n' a pas mal rhabiller hollande pour l' hiver c' est bientôt le printemps disons qu' un(2) certaines choses(2) positives et qu' il a quand même fait des choses courageux(2) et large(2) je ne suis pas tout(2) à fait d' accord avec(2) avec(2) guillaume menée(2) en revanche(3) par exemple y(4) a des(2) échéances(7) où nous sommes(4) en train de négocier(2) avec(2) bruxelles(3) pour savoir si l' année prochaine encore nous devrons nous nous restreindre à eux deux virgule cinq(2) deux virgule huit trois pour cent de(2) déficit(2) du du qui peut(2) être qu' on(2) a quatre-vingt thg de rigueur comme ça pour relancer la croissance il faudrait négocier(2) sur la grande assure(2) qu' est ce que(2) c' est que le(2) déficit(2) conjoncturel le(2) déficit(2) structurel et cetera c' est pareil je(2) pense que quelque(2) chose de(2) très(2) intéressant c' est qu' ils vont reprendre le(2) récit(2) de(2) ce qu' il est(3) en train de faire ce que(2) pour l' instant on(2) a l' impression(2) qu' on(2) ne sait pas on va il y(5) a eu un moment au début(2) de 
LCP_EntreLesLignes_2013-03-16_212400 872.517 873.509 Jerome_BEGLE  2 3 0.992 0.360000000000014 0.588999999999942 0.6 0.593749999999941 vous(2) lille(2) 
LCP_EntreLesLignes_2013-03-16_212400 873.509 892.147 Anne_ROSENCHER  76 14 18.638 16.1800000000001 2.29999999999995 0.155555555555556 0.123403798690844 ou d' un jour je(2) crois qu' il peut(2) être le(2) c' est en tout cas(2) est(4) il dit est ce que(2) c' est(2) le féminisme(2) et peut(2) être qu' il faudrait(2) reprend le(2) récit(2) fait(2) un gouvernement plus pleurer druillet avoir l' impression(2) qu' on(2) est en en en en en en position de(2) bataille parce que(2) c' est(3) une vraie n' a pas le dire la la situation est est grave c' est que 
LCP_EntreLesLignes_2013-03-16_212400 892.147 945.045 Carole_BARJON  182 54 52.898 41.4330000000001 11.4249999999998 0.228813559322034 0.215981700631401 moi je suis d' accord avec c' est bien(2) mais tout de même que le(2) le c' est dire qu' il a fait des réformes(5) courageuses oui c' est vrai notamment celle sur le(2) marché du travail par exemple(3) mais le(2) problème c' est que c' était pas tout(2) à fait ce qui était annoncé en fait(2) le le(2) gros problème de(2) hollandais on(2) en revient malheureusement(3) comme(2) toujours là c' est que(2) bon d' accord on lui demandait(3) pas de se(2) suicider pendant la campagne électorale(7) en(2) annonçant uniquement(3) du sang la sueur des larmes mais tout de même le(2) vingt trois janvier le(2) vingt mois par an le(2) vingt trois juin au lendemain(2) des législatives(4) c' est là qui fallait dire que(2) il y(5) allait y(5) avoir des des moments difficiles voire douloureux or il ne(2) le fait que(2) dix mois après donc ses ses ses là où à ne pas de(2) récit(2) mais malheureusement(3) je(2) je(2) je(2) pense pas que(2) le(2) récit(2) ait(2) été(2) si vous voulez ne(2) nous est à ce moment là au moment où il fallait(2) 
LCP_EntreLesLignes_2013-03-16_212400 945.045 973.246 Christophe_RUAULTS  103 20 28.201 24.9000000000001 3.10000000000014 0.16260162601626 0.109925179958162 alors vous vous dites pendant la campagne(2) de(2) l' année dernière on lui demandait pas de(2) suicidé en(2) annonçant du sang la sueur des larmes(2) ça ça rejoint la l' analyse de(2) bayer(2) ou son livre s' intitule de(2) la vérité(2) en politique alors le ballon il veut faire de(2) la vérité(2) l' alpha et oméga de(2) la vie politique si l' on regarde dit -il(2) les(2) engagements(2) mirobolant de(2) quatre vingt quatre vingt quinze deux mille sept deux mille douze on voit que(2) ces campagnes de(2) facilités détournant(3) l' attention des vrais problèmes(2) ont(2) été(2) de(2) la non-assistance à pays en danger 
LCP_EntreLesLignes_2013-03-16_212400 973.629 1059.461 Guillaume_ROQUETTE  414 87 85.832 73.2199999999972 12.4409999999996 0.173652694610778 0.144945940907815 cela(2) est tout cela(2) est juste le(2) problème c' est qu' effectivement(14) c' est(3) un discours comme disait jérôme qui récurrent(2) mais c' est pour ça que(2) je(2) trouve qu' on s' embrasse une espèce(4) de(2) malaise(2) en voyant revenir(4) François_Bayrou on(2) avait laissé(2) y(5) a onze(2) mois ils nous disaient(2) comme j' ai été(2) courageux et que(2) j' ai dit la vérité(2) je(2) n' a pas été élu(2) et onze mois plus tard il est toujours en train de tourner en rond dans la cour de(2) la caserne il dit ben(2) vous(2) avez vu j' ai été(2) courageux donc forcément je(2) j' ai pas été élu(2) et c' est vrai que le(2) problème c' est que(2) bon on(2) a envie de dire so what et c' est(3) une(2) veut dire que l' échec(3) n' est pas un but(2) en soi quand(2) on fait de la politique que(2) faut(2) il faut me(2) semble que(2) je dis(2) sans(2) ironie parce que(2) j' ai beaucoup d' admiration en tout cas pour les le(2) le(2) le programme économique(3) de(2) bayrou sur le(2) sur les sujets de société(2) je(2) pense que(2) là pour le(2) coup est(4) un vrai centriste(2) et qui n' a pas vu la gravité de la situation mais je(2) enfin ma parenthèse mais il ne(2) tire pas les conséquences(3) de(2) tout cela(2) à aucun moment il ne(2) se(2) dit eh bien c' est parce que(2) cet immeuble était(4) en ce cas là et je(2) n' est pas choisi la bonne stratégie(2) donc si tout ça ne(2) nous mène en tête nulle part et il se(2) compare de(2) gaulle a su volontiers ou allemande(3) est plutôt un mendès france y a pas on(2) est un moment je dirais de de(2) gaulle est(3) un modèle c' est vrai mais il y(4) avait aussi chez de(2) gaulle du calculent quand de(2) gaulle revient au pouvoir de(2) d' une partie des français croient que(2) c' est pour sauver l' algérie française et il fait le contraire donc ça veut dire que(2) de(2) gaulle a toujours dit la vérité(2) ça veut dire que(2) quand(2) on fait la politique il faut aussi accepter(3) la tactique et on(2) a l' impression que(2) bah vous qu' est -ce que(2) c' est par est -ce que(2) c' est par une forme de(2) d' orgueil intellectuel(5) au parce que(2) il ne peut pas faire autrement que la stratégie(2) qui suit ne(2) veut pas faire de la crise et du coup c' est un vrai gâchis 
LCP_EntreLesLignes_2013-03-16_212400 1059.46 1078.885 Christophe_RUAULTS  82 18 19.425 16.3149999999994 3.08000000000015 0.18 0.158558558558567 ils ont mais là vous disiez tout(2) à l' heure avec trente et un pour cent de(2) de(2) cote de(2) popularité molomba devrait y(5) aller franchement(2) c' est(2) que(2) et ça rejoint ce que(2) ce que(2) dit bah on nous(2) annonce une émission(2) de télé(2) là dans les jours à venir(2) de(2) de(2) de(2) François_Hollande qui essaient de reprendre(3) la main et ce qui doit pas profiter de cette cette émission(2) pour dire que je l' adjure hommes(2) petit(4) a trente ans 
LCP_EntreLesLignes_2013-03-16_212400 1078.89 1109.519 Guillaume_ROQUETTE  120 31 30.629 26.1399999999992 4.42999999999961 0.205298013245033 0.144634170230814 alors je(2) pense qu' effectivement(14) je pense que(2) françois hollande cette(3) série que(2) ça va être(2) dur ensuite elles(4) qui va pouvoir violer son caractère(3) profond pour aller tout droit dans la direction annonçait ou est ce qui va continuer(2) à tirer des bords son caractère le(2) fait tirer des bords c' est(3) à dire je(2) donne un petit(4) peu d' un côté et puis à faire que(2) de(2) londres je(2) me(2) dévoile(2) le(2) plus tard possible c' est(3) là qu' on(2) a la pression qu' il a été(2) programmée pour ça de(2) de(2) par ses longues(4) années au parti socialiste et alors que(2) le(2) les français aujourd'hui ne(2) comprennent plus que c' est devenu easy que cette offre(2) politique 
LCP_EntreLesLignes_2013-03-16_212400 1109.52 1123.134 Jerome_BEGLE  56 10 13.614 11.9399999999994 1.54000000000019 0.151515151515152 0.113118848244468 dans l' on se on sait que(2) arrêtez de tirer des bords pour foncer vers l' objectif(2) c' est(3) exactement(3) ce qui reprochent à nicolas(2) sarkozy dont c' est(3) assez compliqué quand même(2) de(2) dire que finalement(3) ce que(2) j' ai fustigé critiqué pendant cinq(2) ans c' est pas si mal à preuve(2) juan(2) la bouffe 
LCP_EntreLesLignes_2013-03-16_212400 1123.13 1131.575 Carole_BARJON  29 8 8.445 6.50500000000034 1.93999999999983 0.216216216216216 0.229721728833609 ordre ce qui c' est un passant sur les retraites le pardon il l' a il y(5) a été un tabou absolu oui absolu à gauche c' est là 
LCP_EntreLesLignes_2013-03-16_212400 1131.57 1135.886 Jerome_BEGLE  11 2 4.316 2.73000000000025 1.38999999999987 0.153846153846154 0.322057460611648 qu' il n' est pas encore dans les villes voisines(2) merci 
LCP_EntreLesLignes_2013-03-16_212400 1135.89 1139.851 Carole_BARJON  14 2 3.961 2.67999999999984 1.2800000000002 0.125 0.323150719515324 henri emmanuelli il y a fait au bas d' avoir elle n' est pas 
LCP_EntreLesLignes_2013-03-16_212400 1139.85 1144.678 Jerome_BEGLE  21 2 4.828 3.27999999999952 1.54800000000023 0.0869565217391304 0.320629660314878 comme(2) il l' a dit que(2) ce n' est pas reproduit(2) parce qu' elle dit à ne pas que les(2) albanais 
LCP_EntreLesLignes_2013-03-16_212400 1144.68 1148.534 Carole_BARJON  10 6 3.854 1.90000000000009 1.38400000000001 0.375 0.359107420861446 son de(2) de(2) de(2) de(2) françois hollande sur la demande 
LCP_EntreLesLignes_2013-03-16_212400 1148.53 1149.496 Christophe_RUAULTS  2 2 0.966 0.380000000000109 0.440000000000055 0.5 0.455486542443121 sur l' 
LCP_EntreLesLignes_2013-03-16_212400 1149.5 1181.638 Carole_BARJON  112 29 32.138 25.7099999999984 6.4079999999999 0.205673758865248 0.199390130064095 avenir absolument ce qui est(3) un peu ennuyeux c' est que(2) l' on(2) a l' impression qu' elle(3) est programmée cette intervention un peu sous la pression(2) oui ce qui ce qui est(3) est(3) est beaucoup mieux tout de même(2) que c' était de(2) précéder de(2) de(2) se sentir comme ça fait maintenant(3) parce que(2) en plus(2) je veux dire ça fait pas trois jours ni même trois semaines(7) que(2) les une grosse interrogation(2) chez les français(2) avec(2) plusieurs ou en et donc je(2) pense qu' il eût(2) été(2) meilleur(2) pour lui qui le précèdent le(2) mouvement(2) et qui le parlent aux français peut(2) être le(2) mois dernier déjà en janvier voilà 
LCP_EntreLesLignes_2013-03-16_212400 1181.64 1184.705 Christophe_RUAULTS  12 1 3.065 2.73000000000002 0.130000000000109 0.0769230769230769 0.0424143556280943 il est juste à la haye rendra historiennes(4) et je selon(2) les(2) 
